molregno	canonical_smiles
8879	CCCCC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
8978	CC(=O)Nc1ccn(COCCOC(=O)Oc2ccccc2)c(=O)n1
8984	CC(c1ccc(F)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
9001	COc1ccc(C(C)C(CS)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1OC
9003	Cc1ccccc1C(C)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
9035	CC(C)CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
9043	CCC(c1ccccc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
9050	CCCN(CCC)CCc1ccc(OC)c(OCc2ccccc2)c1.O=C(O)C(=O)O
9091	CCCN(CCC)CCc1cc(Cl)ccc1OCCc1ccccc1.O=C(O)C(=O)O
9096	CCCN(CCC)CCc1cccc(OC)c1OCc1ccccc1.O=C(O)C(=O)O
9138	CCCN(CCC)CCc1cccc(F)c1OCCc1ccccc1.O=C(O)C(=O)O
9150	CCCN(CCC)CCc1cc(Br)cc(Br)c1OCCc1ccccc1.O=C(O)C(=O)O
9159	CCCN(CCC)CCc1cc(Cl)ccc1OCc1ccccc1.O=C(O)C(=O)O
9190	CCCN(CCC)CCc1ccccc1OCCc1ccccc1.O=C(O)C(=O)O
9191	CCCN(CCC)CCc1cc(Cl)cc(Cl)c1OCCc1ccccc1.O=C(O)C(=O)O
9223	CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C
9230	CCCN(CCC)CCc1cc(Br)ccc1OCCc1ccccc1.O=C(O)C(=O)O
9449	CC1(C)CC1C(=O)N/C(=C\CCCCSc1ccccc1C(=O)O)C(=O)O
9484	CC1(C)CC1C(=O)N/C(=C\CCCCSc1ccccc1)C(=O)O
9548	CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O
9599	CC1(C)CC1C(=O)N/C(=C\CCCCSc1ncccc1C(=O)O)C(=O)O
9600	CC1(C)CC1C(=O)N/C(=C\CCCCSc1ncccc1O)C(=O)O
9631	CC1(C)CC1C(=O)N/C(=C\CCCSc1ncccc1O)C(=O)O
10199	CC(S(=O)(=O)c1ccc(OC(F)(F)F)cc1)S(=O)(=O)C(F)(F)F
10255	O=S(=O)(CS(=O)(=O)C(F)(F)F)c1ccc(C(F)(F)F)cc1
10356	O=S(=O)(CS(=O)(=O)C(F)(F)F)c1ccc(Cl)c(Cl)c1
10373	CNC(=S)NS(=O)(=O)c1cc(CCNC(=O)c2cc(Cl)ccc2OC)ccc1OC
10390	O=S(=O)(CS(=O)(=O)C(F)(F)F)c1ccc(OC(F)(F)F)cc1
10411	CC(C)(C)c1ccc(S(=O)(=O)CS(=O)(=O)C(F)(F)F)cc1
10462	CC(C)(C)c1cc(-c2nnc(S)n2N)cc(C(C)(C)C)c1O
10476	O=S(=O)(CS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1
10526	CC(C)(C)c1cc(/C=C/c2n[nH]c(O)n2)cc(C(C)(C)C)c1O
10583	Cc1nc[nH]c1CSCCN/C(N)=N/[C@@H](C)Cc1c[nH]cn1
10606	CC(C)(C)c1cc(/C=C/c2nnc(S)o2)cc(C(C)(C)C)c1O
10650	CC(C)(C)c1cc(/C=C/c2nnc(O)o2)cc(C(C)(C)C)c1O
10660	CC(C)(C)c1cc(/C=C/c2nnc(N)o2)cc(C(C)(C)C)c1O
10674	CC(C)(C)c1cc(/C=C/c2n[nH]c(S)n2)cc(C(C)(C)C)c1O
10685	CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
11131	O=C(O)CC[C@H](NC(=O)Nc1ccc(N(CCCl)CCCl)cc1)C(=O)O
11140	O=C(O)CC[C@H](NC(=O)Sc1ccc(N(CCCl)CCCl)cc1)C(=O)O
11141	COc1ccc(CCCNC[C@H](O)COc2ccc(O)cc2)cc1
11143	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
11160	Cc1ccc(S(=O)(=O)O)cc1.N/C(=N\O)N/N=C/c1ccc(C(F)(F)F)cc1
11176	O=C(O)CC[C@H](NC(=O)c1ccc(N(CCCl)CCCl)cc1)C(=O)O
11203	CS(=O)(=O)OCCN(CCCl)c1ccc(C(=O)O)cc1
11211	C[C@@H](CCc1ccc(O)cc1)NC[C@H](O)COc1ccc(O)cc1
11253	O=C(O)CC[C@H](NC(=O)Oc1ccc(N(CCCl)CCCl)cc1)C(=O)O
11260	C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)COc1ccc(O)cc1
11291	CC(C)S(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1
11370	COc1ccc(CC[C@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1
11506	CS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1
11552	CC(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1
11572	Cn1cc(C(=O)CCCCCc2ccccc2)cc1/C=C/C(=O)NO
11579	Cn1cc(C(=O)CCCCc2ccccc2)cc1/C=C/C(=O)NO
11592	Cn1cc(C(=O)Cc2ccccc2)cc1C=C(C(=O)NO)C(=O)NO
11623	Cn1cc(C(=O)CCCCCCCc2ccccc2)cc1/C=C/C(=O)NO
11641	COc1cc(C)cc(OC)c1OC(=O)C(CCS(C)(=O)=O)N1C=CCCC1
11649	Cn1cc(C(=O)/C=C/c2ccccc2)cc1/C=C/C=C/C(=O)NO
11665	Cn1cc(C(=O)CCCCCCc2ccccc2)cc1/C=C/C(=O)NO
11848	COC(=O)CC(C(=O)Oc1c(OC)cccc1OC)N1CCCCC1
11857	COC(=O)CC(C(=O)Oc1c(OC)cc(C)cc1OC)N1CCCCC1
11877	COC(=O)CC(C(=O)Oc1c(OC)cccc1OC)N1CCCCCC1
11970	CCOC(=O)NCC(C)(C)NCC(O)COc1ccccc1C(=O)OC
11976	COC(=O)c1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1
11977	COC(=O)c1ccccc1OCC(O)CNCCc1ccc(OC)c(OC)c1
12047	COC(=O)c1ccc(OCC(O)CNCCN2CCCC2)cc1
12056	COC(=O)c1ccccc1OCC(O)CNCCNc1ccc([N+](=O)[O-])cn1
12090	CC(C)(CCn1cnc2c(O)ncnc21)CCP(=O)(O)O
12106	COC(=O)c1ccccc1OCC(O)CNCCNC(=O)Cc1ccccc1
12156	COC(=O)c1ccccc1OCC(O)CNCCNS(=O)(=O)c1ccc(C)cc1
12169	CCOC(=O)N1CCC(=NCC(O)COc2ccccc2C(=O)OC)CC1
12191	CCOC(=O)c1ccccc1OCC(O)CNCCNC(=O)C(C)C
12202	COC(=O)c1ccccc1OCC(O)CN=C1CCN(C=O)CC1
12213	COC(=O)c1ccc(OCC(O)CNCCN2CCCCC2)cc1
12851	NS(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)c(Br)c1
12852	NS(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)c(F)c1
12977	NS(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)cc1
12985	NS(=O)(=O)c1ccccc1NSC(=S)N1CCOCC1
12986	CCN(C)C(=S)SNCc1ccc(S(N)(=O)=O)cc1
13006	NS(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)c(Cl)c1
13015	CCN(C)C(=S)SNCCc1ccc(S(N)(=O)=O)cc1
13016	NS(=O)(=O)c1cccc(NSC(=S)N2CCOCC2)c1
13037	C[C@@H](NCCc1ccc(OCC(=O)O)c(Cl)c1)[C@@H](O)c1ccc(O)cc1
13051	COC(=O)CCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
13056	Nc1ccc(S(=O)(=O)Nc2cccc(S(N)(=O)=O)c2)cc1
13080	COC(=O)CCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
13105	CCOC(=O)CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
13106	COC(=O)COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
13126	NS(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)c(I)c1
